recId	osmStatus	dcsStatus
NHRE-000-000-000-060	Unpublished	Final
NHRE-000-000-000-061	Unpublished	Final
NHRE-000-000-000-062	Unpublished	Final
NHRE-000-000-000-063	Unpublished	Final
NHRE-000-000-000-064	Unpublished	Final
NHRE-000-000-000-065	Unpublished	Final
NHRE-000-000-000-066	Unpublished	Final
NHRE-000-000-000-067	Unpublished	Final
NHRE-000-000-000-068	Unpublished	Final
NHRE-000-000-000-069	Unpublished	Final
NHRE-000-000-000-070	Unpublished	Final
NHRE-000-000-000-071	Unpublished	Final
NHRE-000-000-000-072	Unpublished	Final
NHRE-000-000-000-073	Unpublished	Final
NHRE-000-000-000-074	Unpublished	Final
NHRE-000-000-000-075	Unpublished	Final
NHRE-000-000-000-076	Unpublished	Final
NHRE-000-000-000-077	Unpublished	Final
NHRE-000-000-000-078	Unpublished	Final
NHRE-000-000-000-079	Unpublished	Final
NHRE-000-000-000-080	Unpublished	Final
NHRE-000-000-000-081	Unpublished	Final
NHRE-000-000-000-082	Unpublished	Final
NHRE-000-000-000-083	Unpublished	Final
NHRE-000-000-000-084	Unpublished	Final
NHRE-000-000-000-085	Unpublished	Final
NHRE-000-000-000-086	Unpublished	Final
NHRE-000-000-000-087	Unpublished	Final
NHRE-000-000-000-088	Unpublished	Final
NHRE-000-000-000-089	Unpublished	Final
NHRE-000-000-000-090	Unpublished	Final
NHRE-000-000-000-091	Unpublished	Final
NHRE-000-000-000-092	Unpublished	Final
NHRE-000-000-000-093	Unpublished	Final
NHRE-000-000-000-094	Unpublished	Final
NHRE-000-000-000-095	Unpublished	Final
NHRE-000-000-000-096	Unpublished	Final
NHRE-000-000-000-097	Unpublished	Final
NHRE-000-000-000-098	Unpublished	Final
NHRE-000-000-000-099	Unpublished	Final
NHRE-000-000-000-100	Unpublished	Final
NHRE-000-000-000-101	Unpublished	Final
NHRE-000-000-000-102	Unpublished	Final
NHRE-000-000-000-103	Unpublished	Final
NHRE-000-000-000-104	Unpublished	Final
NHRE-000-000-000-105	Unpublished	Final
NHRE-000-000-000-106	Unpublished	Final
NHRE-000-000-000-107	Unpublished	Final
NHRE-000-000-000-108	Unpublished	Final
NHRE-000-000-000-109	Unpublished	Final
NHRE-000-000-000-110	Unpublished	Final
NHRE-000-000-000-111	Unpublished	Final
NHRE-000-000-000-112	Unpublished	Final
NHRE-000-000-000-113	Unpublished	Final
NHRE-000-000-000-114	Unpublished	Final
