pub_date,title,authors,doi,ark,journal,collaboration,num_yellowstone_authors,yellowstone_authors,sum_author_charges,other_ncar_authors
2012-04-15,Monsoon regimes and processes in CCSM4. Part I: The Asian-Australian monsoon,"Meehl, G.; Arblaster, J.; Caron, J.; et al",10.1175/JCLI-D-11-00184.1,http://n2t.net/ark:/85065/d7dv1khm,Journal of Climate,"UCAR, University and Other",2,"Arblaster, J.; Caron, J.",8448781.3,"Meehl, G.; Jochum, M.; Chakraborty, A."
2012-08-15,Mechanisms contributing to the warming hole and the consequent U.S. east-west differential of heat extremes,"Meehl, G.; Arblaster, J.; Branstator, G.",10.1175/JCLI-D-11-00655.1,http://n2t.net/ark:/85065/d75b0345,Journal of Climate,UCAR and Other,2,"Arblaster, J.; Branstator, G.",70135.6,"Meehl, G."
2011-09-15,Decadal variability of Asian--Australian monsoon--ENSO-TBO relationships,"Meehl, G.; Arblaster, J.",10.1175/2011JCLI4015.1,http://n2t.net/ark:/85065/d7ww7jbx,Journal of Climate,UCAR and Other,1,"Arblaster, J.",66194.8,"Meehl, G."
2012-03-18,Assessing confidence in Pliocene sea surface temperatures to evaluate predictive models,"Dowsett, H.; Robinson, M.; Haywood, A.; et al",10.1038/nclimate1455,http://n2t.net/ark:/85065/d7nc61vq,Nature Climate Change,"UCAR, University and Other",2,"Rosenbloom, N.; Otto-Bliesner, B.",12651187.9,
2011-07-01,Pliocene Model Intercomparison Project (PlioMIP): Experimental design and boundary conditions (Experiment 2),"Haywood, A.; Dowsett, H.; Robinson, M.; et al",10.5194/gmd-4-571-2011,http://n2t.net/ark:/85065/d7cv4jc7,Geoscientific Model Development,"UCAR, University and Other",1,"Otto-bliesner, B.",3397120.4,
2012-01-31,Abrupt onset of the Little Ice Age triggered by volcanism and sustained by sea-ice/ocean feedbacks,"Miller, G.; Geirsdóttir, Á.; Zhong, Y.; et al",10.1029/2011GL050168,http://n2t.net/ark:/85065/d74f1rc8,Geophysical Research Letters,UCAR and University,3,"Otto-Bliesner, B.; Holland, M.; Bailey, D.",15736048.9,
2012-07-13,The solar dynamo,"Miesch, M.",10.1098/rsta.2011.0507,http://n2t.net/ark:/85065/d7vx0h5n,"Philosophical Transactions of the Royal Society. Series A, Mathematical, Physical & Engineering Sciences",UCAR only,1,"Miesch, M.",90716.3,
2012-03-01,Broad range of 2050 warming from an observationally constrained large climate model ensemble,"Rowlands, D.; Frame, D.; Ackerley, D.; et al",10.1038/ngeo1430,http://n2t.net/ark:/85065/d7fn16tb,Nature Geoscience,"UCAR, University and Other",1,"Sanderson, B.",6689764.8,"Aina, T."
2012-04-05,Global warming preceded by increasing carbon dioxide concentrations during the last deglaciation,"Shakun, J.; Clark, P.; He, F.; et al",10.1038/nature10915,http://n2t.net/ark:/85065/d7xp75kr,Nature,UCAR and University,1,"Otto-Bliesner, B.",3397120.4,"Schmittner, A."
2012-06-01,The low-resolution CCSM4,"Shields, C.; Bailey, D.; Danabasoglu, G.; et al",10.1175/JCLI-D-11-00260.1,http://n2t.net/ark:/85065/d7p55p41,Journal of Climate,UCAR only,5,"Shields, C.; Bailey, D.; Danabasoglu, G.; Levis, S.; Park, S.",33258009.4,"Jochum, M.; Kiehl, J."
2011-12-13,Mapping model agreement on future climate projections,"Tebaldi, C.; Arblaster, J.; Knutti, R.",10.1029/2011GL049863,http://n2t.net/ark:/85065/d7571cnj,Geophysical Research Letters,UCAR and Other,1,"Arblaster, J.",66194.8,
2012-02-01,Evaluation of climate models using palaeoclimatic data,"Braconnot, P.; Harrison, S.; Kageyama, M.; et al",10.1038/nclimate1456,http://n2t.net/ark:/85065/d7cr5v0c,Nature Climate Change,"UCAR, University and Other",1,"Otto-bliesner, B.",3397120.4,
2012-06-30,WRF simulations of convectively generated gravity waves in opposite QBO phases,"Evan, S.; Alexander, M.; Dudhia, J.",10.1029/2011JD017302,http://n2t.net/ark:/85065/d7474bgq,Journal of Geophysical Research-Atmospheres,"UCAR, University and Other",1,"Dudhia, J.",7499.3,
2012-06-14,Sources of low-latitude ionospheric E x B drifts and their variability,"Maute, A.; Richmond, A.; Roble, R.",10.1029/2011JA017502,http://n2t.net/ark:/85065/d7vq339j,Journal of Geophysical Research-Space Physics,UCAR only,3,"Maute, A.; Richmond, A.; Roble, R.",214122.1,
2012-06-19,An active region filament studied simultaneously in the chromosphere and photosphere II. Doppler velocities.,"Kuckein, C.; Martínez Pillet, V.; Centeno Elliott, R.",10.1051/0004-6361/201218887,http://n2t.net/ark:/85065/d7br8st4,Astronomy and Astrophysics,"UCAR, University and Other",1,"Centeno Elliott, R.",22.4,
2012-07-10,Younger Dryas cooling and the Greenland climate response to CO₂,"Liu, Z.; Carlson, A.; He, F.; et al",10.1073/pnas.1202183109,http://n2t.net/ark:/85065/d79s1rp9,Proceedings of the National Academy of Sciences of the United States of America,UCAR and University,2,"Brady, E.; Otto-Bliesner, B.",5607047.7,"Briegleb, B."
2012-07-01,Northern Hemisphere forcing of the last deglaciation in southern Patagonia,"Murray, D.; Carlson, A.; Singer, B.; et al",10.1130/G32836.1,http://n2t.net/ark:/85065/d7xk8g5f,Geology,UCAR and University,1,"Otto-Bliesner, B.",3397120.4,
2012-05-04,Estimating the climate significance of halogen-driven ozone loss in the tropical marine troposphere,"Saiz-Lopez, A.; Lamarque, J.; Kinnison, D.; et al",10.5194/acp-12-3939-2012,http://n2t.net/ark:/85065/d78s4qjx,Atmospheric Chemistry and Physics,"UCAR, University and Other",4,"Lamarque, J.; Kinnison, D.; Tilmes, S.; Conley, A.",37242525.9,"Orlando, J.; Schauffler, S."
2012-03-27,CAM-chem: Description and evaluation of interactive atmospheric chemistry in the Community Earth System Model,"Lamarque, J.; Emmons, L.; Hess, P.; et al",10.5194/gmd-5-369-2012,http://n2t.net/ark:/85065/d7rv0pbb,Geoscientific Model Development,"UCAR, University and Other",6,"Lamarque, J.; Emmons, L.; Kinnison, D.; Tilmes, S.; Vitt, F.; Lauritzen, P.",40929670.8,"Holland, E.; Orlando, J.; Tyndall, G."
2012-07-01,Tracking earth's energy: From El Niño to global warming,"Trenberth, K.; Fasullo, J.",10.1007/s10712-011-9150-2,http://n2t.net/ark:/85065/d7h995t4,Surveys in Geophysics,UCAR only,1,"Fasullo, J.",524272.6,"Trenberth, K."
