uhtbin_url	citable_url
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000141	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-141
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000142	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-142
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000143	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-143
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000144	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-144
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000145	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-145
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000146	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-146
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000147	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-147
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000148	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-148
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000149	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-149
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000150	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-150
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000151	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-151
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000152	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-152
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000153	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-153
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000154	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-154
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000155	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-155
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000156	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-156
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000157	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-157
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000158	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-158
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000159	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-159
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000160	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-160
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000161	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-161
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000162	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-162
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000163	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-163
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000164	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-164
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000165	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-165
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000166	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-166
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000167	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-167
